Date,Income/Expenses,Category,Memo,Amount
2019-04-03,Income,Cash Withdrawal,,200.0
2019-04-03,Expenses,Transportation,Top Up Ezlink Card,-50.0
2019-04-03,Expenses,Food,"Mc Spicy @Mc. Donald's, JEM, Jurong East",-6.8
2019-04-02,Expenses,Food,"Sweet-Chilli Fish @Mc. Donald's, Shaw House, Orchard",-8.0
2019-04-02,Expenses,Clothing,"Clothing @Uniqlo, ION Orchard, Orchard",-14.9
2019-04-01,Expenses,Groceries,"Sunshine's HKD MT Bread @Cold Storage Jelita, Clementi",-2.7
2019-04-01,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2019-04-01,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-04-01,Income,Last Month's Balance,March's Balance,115.3
2019-03-31,Expenses,Food,"Japanese Food @Cook House, JEM, Jurong East",-5.0
2019-03-31,Expenses,Drinks,"Green Tea @Coffee Bean & Tea Leaf, JEM, Jurong East",-2.4
2019-03-31,Expenses,Drinks,"Chocolate @Coffee Bean & Tea Leaf, JEM, Jurong East",-4.0
2019-03-30,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.4
2019-03-29,Expenses,Food,"Noodle @Kampoeng, SIM, Clementi",-4.5
2019-03-29,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-03-28,Expenses,Groceries,"Gardenia's High Cal Bread + Truffles Bar @Cold Storage, Holland Village",-3.8
2019-03-28,Expenses,Food,"Sliced Pork Chop @Kampoeng, SIM, Clementi",-5.0
2019-03-28,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-2.8
2019-03-27,Expenses,Food,"Mixed Rice @Cook House, JEM, Jurong East",-5.2
2019-03-27,Expenses,Snacks,"Muffin @Coffee Bean & Tea Leaf, JEM, Jurong East",-2.2
2019-03-27,Expenses,Drinks,"Chocolate @Coffee Bean & Tea Leaf, JEM, Jurong East",-4.0
2019-03-27,Expenses,Movies,"Us @Cathay Cinema, JEM, Jurong East",-7.0
2019-03-27,Expenses,Drinks,"Mineral Water @Fairprice Xtra, JEM, Jurong East",-0.7
2019-03-27,Expenses,Snacks,"Snacks @Tori-Q, JEM, Jurong East",-3.6
2019-03-26,Expenses,Food,"Japanese Food @Kampoeng, SIM, Clementi",-5.5
2019-03-26,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.6
2019-03-25,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.6
2019-03-25,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-2.8
2019-03-24,Expenses,Dessert,"Mc Flurry @Mc. Donald 's, Clementi",-1.4
2019-03-24,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-3.5
2019-03-23,Income,Cash Withdrawal,,100.0
2019-03-23,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2019-03-23,Expenses,Food,"Mala Hot Soup @Kampoeng, SIM, Clementi",-4.5
2019-03-22,Expenses,Food,"Noodle @Foodfare, Clementi Mall, Clementi",-4.5
2019-03-22,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-03-21,Expenses,Drinks,"Pocari Sweat @Fairprice Finest, Clementi Mall, Clementi",-0.6
2019-03-21,Expenses,Groceries,"Sunshine's ENRCH W/B @Fairprice Finest, Clementi Mall, Clementi",-2.1
2019-03-21,Expenses,Food,"Original Angus @Mc Donald's, Sentosa Island, Harbourfront",-7.8
2019-03-21,Expenses,Food,"Crispy Chicken @Mc. Donald's, Vivocity, Harbourfront",-4.8
