Year Month,Year Month Label,Expenses,Carry-over,Real Income,Carryover,Surplus,Cumulative Surplus
2020-10-01,October 2020,593.1,121.8,600.0,169.7000000000004,176.60000000000036,5262.450000000006
2020-11-01,November 2020,488.09999999999997,128.7,600.0,176.60000000000036,288.5000000000004,5550.950000000006
2020-12-01,December 2020,616.7,240.6,600.0,288.5000000000004,271.8000000000004,5822.750000000006
2021-01-01,January 2021,523.2,223.9,600.0,271.8000000000004,348.60000000000036,6171.350000000007
2021-02-01,February 2021,548.6,300.7,680.0,348.60000000000036,480.00000000000034,6651.350000000007
2021-03-01,March 2021,650.6,432.1,600.0,480.00000000000034,429.40000000000043,7080.750000000007
2021-04-01,April 2021,520.4,381.5,300.0,429.40000000000043,209.00000000000045,7289.750000000007
2021-05-01,May 2021,357.5,161.1,300.0,209.00000000000045,151.50000000000045,7441.250000000007
2021-06-01,June 2021,357.6,103.6,300.0,151.50000000000045,93.90000000000043,7535.150000000008
2021-07-01,July 2021,578.6999999999999,46.0,600.0,93.90000000000043,115.2000000000005,7650.350000000009
2021-08-01,August 2021,638.0,58.7,600.0,115.2000000000005,77.2000000000005,7727.550000000009
2021-09-01,September 2021,490.3,20.7,600.0,77.2000000000005,186.9000000000005,7914.45000000001
2021-10-01,October 2021,422.8,130.4,600.0,186.9000000000005,364.10000000000053,8278.55000000001
2021-11-01,November 2021,495.7,307.6,600.0,364.10000000000053,468.4000000000006,8746.950000000012
2021-12-01,December 2021,728.9,411.9,600.0,468.4000000000006,339.50000000000057,9086.450000000012
2022-01-01,January 2022,657.5,283.0,600.0,339.50000000000057,282.00000000000057,9368.450000000012
2022-02-01,February 2022,726.0,225.5,700.0,282.00000000000057,256.00000000000057,9624.450000000012
2022-03-01,March 2022,700.4,199.5,700.0,256.00000000000057,255.6000000000006,9880.050000000012
2022-04-01,April 2022,778.5,199.1,900.0,255.6000000000006,377.1000000000006,10257.150000000012
2022-05-01,May 2022,731.1,320.6,700.0,377.1000000000006,346.00000000000057,10603.150000000012
2022-06-01,June 2022,789.5,289.5,700.0,346.00000000000057,256.50000000000045,10859.650000000012
2022-07-01,July 2022,655.1,200.0,600.0,256.50000000000045,201.40000000000043,11061.050000000012
2022-08-01,August 2022,738.1,172.4,700.0,201.40000000000043,163.3000000000004,11224.350000000013
2022-09-01,September 2022,875.1,134.3,800.0,163.3000000000004,88.20000000000039,11312.550000000014
2022-10-01,October 2022,811.2,59.2,800.0,88.20000000000039,77.00000000000034,11389.550000000014
2022-11-01,November 2022,739.8,48.0,800.0,77.00000000000034,137.2000000000004,11526.750000000015
2022-12-01,December 2022,491.8,108.2,600.0,137.2000000000004,245.40000000000038,11772.150000000014
2023-01-01,January 2023,793.4,216.4,700.0,245.40000000000038,152.00000000000034,11924.150000000014
2023-02-01,February 2023,776.8000000000001,123.0,800.0,152.00000000000034,175.20000000000027,12099.350000000015
2023-03-01,March 2023,773.3,146.2,800.0,175.20000000000027,201.90000000000032,12301.250000000015
2023-04-01,April 2023,751.8,172.9,700.0,201.90000000000032,150.10000000000036,12451.350000000015
2023-05-01,May 2023,657.0,121.1,700.0,150.10000000000036,193.10000000000036,12644.450000000015
2023-06-01,June 2023,688.7,164.1,700.0,193.10000000000036,204.40000000000032,12848.850000000015
2023-07-01,July 2023,680.5,175.4,600.0,204.40000000000032,123.90000000000032,12972.750000000015
2023-08-01,August 2023,823.5,179.4,800.0,123.90000000000032,100.40000000000032,13073.150000000014
2023-09-01,September 2023,567.0,155.9,600.0,100.40000000000032,133.40000000000032,13206.550000000014
2023-10-01,October 2023,817.9,188.9,700.0,133.40000000000032,15.500000000000341,13222.050000000014
2023-11-01,November 2023,668.6,71.0,700.0,15.500000000000341,46.90000000000032,13268.950000000013
2023-12-01,December 2023,454.9,102.4,700.0,46.90000000000032,292.00000000000034,13560.950000000013
