Date,Income/Expenses,Category,Memo,Amount
2023-09-21,Expenses,Snacks,"Chocolate Wafer @Kuriya Japanese Market, Guoco Tower, Tanjong Pagar",-1.5
2023-09-21,Expenses,Food,"Noodle @A Noodle Story, Guoco Tower, Tanjong Pagar",-13.8
2023-09-20,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-20,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.6
2023-09-19,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.6
2023-09-19,Expenses,Food,"Sushi @Sushiro, Wisma Atria, Orchard",-17.9
2023-09-18,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.6
2023-09-18,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-17,Expenses,Sport,"Gym Session @Gym Pod, Holland Village",-9.5
2023-09-17,Expenses,Food,"Burger @MOS Burger, JEM, Jurong East",-7.2
2023-09-17,Expenses,Food,"Pizza @Gastronomia, Holland Village",-12.8
2023-09-16,Income,Cash Withdrawal,,300
2023-09-16,Expenses,Food,"Chicken @Tenderbest, Clementi",-8
2023-09-16,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.6
2023-09-15,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-15,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5
2023-09-14,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-14,Expenses,Food,"Western Food @Black Tap, Marina Bay Sands, Bayfront",-48.8
2023-09-13,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.7
2023-09-13,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-12,Expenses,Dessert,"Dessert @Madam Ooze, Telok Ayer",-16
2023-09-12,Expenses,Food,"Mexican Food @Guzman Y Gomez, Guoco Tower, Tanjong Pagar",-12.4
2023-09-12,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-11,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.6
2023-09-11,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.3
2023-09-10,Expenses,Food,"Food @IKEA, Queenstown",-7.4
2023-09-10,Expenses,Food,"Sushi @Sushiro, Suntec City, Promenade",-12.7
2023-09-10,Expenses,Drinks,"Chocolate @Ralph's Coffee, Marina Bay Sands, Bayfront",-8
2023-09-10,Expenses,Food,"Breakfast @Mc Donald's, Clementi",-7.1
2023-09-10,Expenses,Sport,"Gym Session @The Gym Pod, Clementi",-5.4
2023-09-09,Expenses,Food,"Western Food @El Carbon, Clementi",-20.5
2023-09-09,Income,Cash Withdrawal,,300
2023-09-08,Expenses,Food,Fried Rice @Clementi,-7.7
2023-09-08,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-07,Expenses,Dessert,"Matcha Mon Blanc @Hvala, Takashimaya, Orchard",-10
2023-09-07,Expenses,Food,"Mala @Food Republic, Orchard",-9.5
2023-09-07,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.3
2023-09-06,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.6
2023-09-06,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-05,Expenses,Dessert,"Ice Cream @Van Leeuwen, Orchard Central, Somerset",-5.2
2023-09-05,Expenses,Food,"Sushi @Sushiro, Wisma Atria, Orchard",-16.8
2023-09-05,Expenses,Gift,,-22.7
2023-09-05,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-04,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.3
2023-09-04,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.3
2023-09-03,Expenses,Food,"Fried Rice @King's Fried Rice, Clementi",-12.4
2023-09-03,Expenses,Sport,"Gym Session @The Gym Pod, Holland Village",-5.9
2023-09-03,Expenses,Food,"Braised Chicken Rice @Fun Toast, Star Vista, Buona Vista",-5.2
2023-09-02,Expenses,Food,Fried Rice @Clementi,-7.4
2023-09-02,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5
2023-09-02,Expenses,Transportation,Top Up Ezlink Card,-50
2023-09-01,Expenses,Food,"Brunch @Merci Marcel, Palais Renaissance, Orchard",-31.4
2023-09-01,Income,Balance from Previous Month,August's Balance,155.9
2023-08-31,Expenses,Food,"Chicken @Jollibee, Lucky Plaza, Orchard",-13
2023-08-31,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.3
2023-08-31,Income,Balance Adjustment,,200
2023-08-30,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5
2023-08-30,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-29,Expenses,Dessert,"Yogurt @Yolé, Vivo City, Harbourfront",-4.2
2023-08-29,Expenses,Food,"Pasta @Mamma Mia, Vivo City, Harbourfront",-19.3
2023-08-29,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.8
2023-08-28,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-27,Expenses,Food,"Chicken @Wingstop, Clementi Mall, Clementi",-8.1
2023-08-27,Expenses,Drinks,"Matcha @Starbucks, Metropolis, Buona Vista",-7.5
2023-08-27,Expenses,Food,"Prata @Koufu, Commonwealth",-6.9
2023-08-27,Expenses,Sport,"Gym Session @Gym Pod, Holland Village",-14.2
2023-08-27,Expenses,Snacks,"Croissant + Pain au Chocolat @Tiong Bahru Bakery, Holland Village",-12
2023-08-26,Expenses,Food,"Chicken @Jollibee, Clementi",-16.3
2023-08-26,Expenses,Food,Fried Rice @Clementi,-7.6
2023-08-25,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-11
2023-08-24,Expenses,Food,"Mango Sago @Mango Ice, Orchard Gateway, Somerset",-4.9
2023-08-24,Expenses,Dessert,"Ice Cream @Van Leeuwen, 313 Somerset, Somerset",-5.2
2023-08-24,Expenses,Food,"Western Food @Marché Mövenpick, 313 Somerset, Somerset",-23.3
2023-08-24,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.3
2023-08-23,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.7
2023-08-23,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-22,Expenses,Drinks,"Lemon Green Tea @Lemoon Tea, 313 Somerset, Somerset",-2
2023-08-22,Expenses,Food,"Sushi @Genki Sushi, 313 Somerset, Somerset",-26.3
2023-08-22,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.3
2023-08-21,Expenses,Food,Fried Rice @Clementi,-7.7
2023-08-21,Expenses,Groceries,"Muesli Bar @Fairprice Finest, Clementi Mall, Clementi",-33.7
2023-08-21,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-20,Income,Cash Withdrawal,,300
2023-08-20,Expenses,Clothing,"Socks @Uniqlo, Clementi Mall, Clementi",-14.9
2023-08-20,Expenses,Food,"Rapokki @Jinjja, Clementi Mall, Clementi",-10.8
2023-08-20,Expenses,Food,"Mixed Rice @Kopitiam, Dover",-6.9
2023-08-20,Expenses,Sport,"Gym Session @Gym Pod, International Business Center, Jurong East",-5.5
2023-08-20,Expenses,Dessert,"Mocha Frappe + Mc Flurry @Mc Donald's, Clementi Mall, Clementi",-1.8
2023-08-19,Expenses,Telephone,Top Up Singtel Card,-13
2023-08-19,Expenses,Food,"Western Food @El Carbon, Clementi",-14.8
2023-08-18,Expenses,Dessert,"Croissant + Cake @Madame Ooze, Telok Ayer",-16.8
2023-08-18,Expenses,Food,"Pasta @La Mensa, Guoco Tower, Tanjong Pagar",-14.9
2023-08-18,Expenses,Food,"Noodle @Sarawak Kolo Mee, Guoco Tower, Tanjong Pagar",-7.1
2023-08-17,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.7
2023-08-17,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-16,Expenses,Transportation,Top Up Ezlink Card,-50
2023-08-16,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.3
2023-08-16,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-15,Expenses,Dessert,"Waffle @Smoochie Creamery, Far East Plaza, Orchard",-5
2023-08-15,Expenses,Food,"Thai Food @Nana, Far East Plaza, Orchard",-16.5
2023-08-15,Expenses,Food,Mixed Rice @Tanjong Pagar,-7
2023-08-14,Expenses,Food,"Western Food + Prata @Koufu, Commonwealth",-11.9
2023-08-14,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-13,Expenses,Food,Fried Rice @Clementi,-7.7
2023-08-13,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5
2023-08-12,Expenses,Food,"BBQ @JiaYangDi BBQ, Newest, Clementi",-21.4
2023-08-11,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.7
2023-08-11,Expenses,Food,Mixed Rice @Tanjong Pagar,-6
2023-08-10,Expenses,Food,"Noodle @Eat, Clementi Mall, Clementi",-6.3
2023-08-10,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-09,Expenses,Food,"Kebab @Stuff'd, Clementi Mall, Clementi",-7.5
2023-08-09,Expenses,Food,"Chicken @Jollibee, Tic Tech Center, Clementi",-17
2023-08-08,Expenses,Food,Fried Rice @Clementi,-7.7
2023-08-08,Expenses,Food,"Burger @Meatsmith, Tanjong Pagar",-12
2023-08-07,Expenses,Food,"Double Mc Spicy @Mc Donald's, Jurong East",-8.7
2023-08-07,Expenses,Home,"Rexbegonia @IKEA, JEM, Jurong East",-13.9
2023-08-07,Expenses,Food,Mixed Rice @Tanjong Pagar,-7
2023-08-06,Income,Cash Withdrawal,,300
2023-08-06,Expenses,Drinks,"Milk Tea @Bawang Chagee, Bugis+, Bugis",-8.7
2023-08-06,Expenses,Food,"Pork Ribs @IKEA, Alexandra, Queenstown",-14
2023-08-06,Expenses,Dessert,"Croissant @Tiong Bahru Bakery, Tang's Plaza, Orchard",-5.6
2023-08-06,Expenses,Food,"Noodle @Bakmi Town, Lucky Plaza, Orchard",-7.4
2023-08-05,Expenses,Food,Fried Rice @Clementi,-9
2023-08-05,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.9
2023-08-04,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.8
2023-08-04,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-03,Expenses,Snacks,"Nuggets @Mc Donald's, Jurong East",-12.3
2023-08-03,Expenses,Food,"Sushi @Kuriya, Guoco Tower, Tanjong Pagar",-7.8
2023-08-03,Expenses,Movies,"Barbie @Cathay Cineplex, JEM, Jurong East",-11
2023-08-03,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-02,Expenses,Food,Fried Rice @Clementi,-7.7
2023-08-02,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-02,Expenses,Transportation,Top Up Ezlink Card,-50
2023-08-01,Expenses,Food,"Burrito @Guzman Y Gomez, Guoco Tower, Tanjong Pagar",-12.4
2023-08-01,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-08-01,Income,Balance from Previous Month,July's Balance,179.4
