Date,Year,ISO Year,Month,Month Label,Week,Week Label,Day,Category,Item,Vendor,Vendor Location,District,Income/Expenses,Amount,Formatted Date,Outlier
2022-05-30,2022,2022,5,May,22,W22,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0,30/05/2022,False
2022-05-15,2022,2022,5,May,19,W19,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,15/05/2022,False
2022-05-09,2022,2022,5,May,19,W19,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,09/05/2022,False
2022-05-01,2022,2022,5,May,17,W17,Sunday,Balance from Previous Month,April's Balance,Blank,Blank,Blank,Income,320.6,01/05/2022,False
2022-04-21,2022,2022,4,April,16,W16,Thursday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,21/04/2022,False
2022-04-03,2022,2022,4,April,13,W13,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,03/04/2022,False
2022-04-02,2022,2022,4,April,13,W13,Saturday,Others,Others,Blank,Blank,Blank,Income,400.0,02/04/2022,False
2022-04-01,2022,2022,4,April,13,W13,Friday,Balance from Previous Month,March's Balance,Blank,Blank,Blank,Income,199.1,01/04/2022,False
2022-03-29,2022,2022,3,March,13,W13,Tuesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0,29/03/2022,False
2022-03-16,2022,2022,3,March,11,W11,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,16/03/2022,False
2022-03-03,2022,2022,3,March,9,W9,Thursday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,03/03/2022,False
2022-03-01,2022,2022,3,March,9,W9,Tuesday,Balance from Previous Month,February's Balance,Blank,Blank,Blank,Income,199.5,01/03/2022,False
2022-02-28,2022,2022,2,February,9,W9,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0,28/02/2022,False
2022-02-22,2022,2022,2,February,8,W8,Tuesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,22/02/2022,False
2022-02-09,2022,2022,2,February,6,W6,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,09/02/2022,False
2022-02-01,2022,2022,2,February,5,W5,Tuesday,Balance from Previous Month,January's Balance,Blank,Blank,Blank,Income,225.5,01/02/2022,False
2022-01-24,2022,2022,1,January,4,W4,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,24/01/2022,False
2022-01-03,2022,2022,1,January,1,W1,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,03/01/2022,False
2022-01-01,2022,2021,1,January,52,W52,Saturday,Balance from Previous Month,December's Balance,Blank,Blank,Blank,Income,283.0,01/01/2022,False
2021-12-19,2021,2021,12,December,50,W50,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,19/12/2021,False
2021-12-10,2021,2021,12,December,49,W49,Friday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,10/12/2021,False
